County,Population,Households,Poverty_Perc,Sales_Tax,Businesses,Total_crimes,Marijuana_DrugArrests,Total_DrugArrests,Total_CannBus,Sales_Tax_std,Businesses_std,Total_crimes_std,Marijuana_DrugArrests_std,Total_DrugArrests_std,Total_CannBus_std,COUNTY_NAM
Cass,30066.0,12614.0,0.12555710769640124,22479129.0,1044.0,396.0,9.0,70.0,35.0,747.6594492117342,0.034723608062263024,0.013171023747754938,0.00029934144881261224,0.00232821126854254,0.00116410563427127,Cass
Chippewa,12598.0,5150.0,0.09033179869820607,8099470.0,368.0,7.0,3.0,8.0,7.0,642.9171297031274,0.02921098587077314,0.000555643752976663,0.0002381330369899984,0.0006350214319733291,0.000555643752976663,Chippewa
Chisago,56621.0,20900.0,0.0616379081966055,23842247.0,1228.0,666.0,30.0,61.0,46.0,421.0848801681355,0.021688066265166634,0.011762420303420992,0.000529838752406351,0.0010773387965595804,0.0008124194203564048,Chisago
Clay,65318.0,24931.0,0.11995162129887627,30362449.0,1063.0,2045.0,35.0,121.0,49.0,464.8404574543005,0.01627422762485073,0.03130836829051716,0.0005358400440919808,0.001852475581003705,0.0007501760617287731,Clay
Clearwater,8524.0,3487.0,0.14535429375879869,3501348.0,226.0,67.0,2.0,3.0,8.0,410.76349131862975,0.02651337400281558,0.007860159549507273,0.0002346316283435007,0.0003519474425152511,0.0009385265133740028,Clearwater
Cook,5600.0,2711.0,0.09696428571428571,8480895.0,398.0,58.0,2.0,3.0,28.0,1514.4455357142858,0.07107142857142858,0.010357142857142856,0.00035714285714285714,0.0005357142857142857,0.005,Cook
Cottonwood,11517.0,4671.0,0.11244247633932447,5035504.0,356.0,107.0,10.0,20.0,11.0,437.2235825301728,0.030910827472432057,0.009290613875141096,0.0008682816705739342,0.0017365633411478684,0.0009551098376313276,Cottonwood
Crow Wing,66123.0,27872.0,0.09616926031789241,86047763.0,2331.0,1071.0,102.0,255.0,83.0,1301.328781210774,0.03525248400707772,0.016197087246495167,0.0015425797377614447,0.0038564493444036116,0.0012552364532764696,Crow Wing
Dakota,439882.0,168008.0,0.05563992161534229,381471140.0,8999.0,9557.0,290.0,716.0,223.0,867.212434243729,0.020457759126311148,0.02172628113903274,0.0006592677127047708,0.0016277092492986756,0.0005069541377005651,Dakota
Dodge,20867.0,7903.0,0.04705995111899171,8270258.0,429.0,196.0,17.0,53.0,15.0,396.3319116308046,0.02055877701634159,0.009392821200939282,0.0008146834715100397,0.0025398955288254183,0.0007188383572147409,Dodge
Douglas,39006.0,16557.0,0.07514228580218428,43748681.0,1438.0,491.0,62.0,243.0,23.0,1121.5884992052504,0.0368661231605394,0.012587807004050659,0.0015894990514279854,0.006229810798338717,0.0005896528739168333,Douglas
Faribault,13921.0,6086.0,0.1043746857266001,5534870.0,436.0,49.0,5.0,21.0,6.0,397.59140866317074,0.03131958910997773,0.003519862078873644,0.0003591695998850657,0.001508512319517276,0.00043100351986207885,Faribault
Fillmore,21228.0,8605.0,0.09058790276992651,13197668.0,701.0,106.0,0.0,1.0,13.0,621.7103825136612,0.0330224232146222,0.004993404936875824,0.0,4.710759374411155e-05,0.0006123987186734502,Fillmore
Freeborn,30895.0,13076.0,0.09438420456384529,21118529.0,819.0,707.0,34.0,109.0,27.0,683.5581485677294,0.026509143874413336,0.022883961806117493,0.0011005016993040945,0.0035280789771807734,0.0008739278200356045,Freeborn
Goodhue,47582.0,19499.0,0.08194275146063637,30203610.0,1341.0,847.0,66.0,146.0,37.0,634.7696607960994,0.02818292631667437,0.017800849060569123,0.0013870791475768147,0.0030683872052456812,0.0007776049766718507,Goodhue
Grant,6074.0,2540.0,0.09153770167928878,3271126.0,214.0,4.0,2.0,5.0,4.0,538.5456042146856,0.03523213697728021,0.0006585446163977609,0.00032927230819888045,0.0008231807704972012,0.0006585446163977609,Grant
Hennepin,1281565.0,528547.0,0.09774299391759295,1769021134.0,32248.0,45545.0,992.0,2880.0,1029.0,1380.3600550888953,0.025162984319952557,0.03553857978331181,0.0007740535985299224,0.0022472523828288068,0.0008029245492815424,Hennepin
Houston,18843.0,8013.0,0.07392665711404765,5879341.0,471.0,113.0,14.0,39.0,22.0,312.0172477843231,0.024996019742079288,0.005996921933874648,0.0007429814785331422,0.0020697341187708965,0.0011675423234092236,Houston
Hubbard,21344.0,8885.0,0.11145989505247376,13893919.0,707.0,307.0,91.0,204.0,17.0,650.9519771364318,0.03312406296851574,0.01438343328335832,0.004263493253373313,0.009557721139430285,0.0007964767616191904,Hubbard
Isanti,41135.0,15615.0,0.07266318220493496,32848798.0,947.0,783.0,25.0,117.0,28.0,798.5607876504193,0.02302175762732466,0.019034885134313846,0.0006077549532028686,0.002844293180989425,0.0006806855475872129,Isanti
Itasca,45014.0,18968.0,0.12029590793975208,30775568.0,1244.0,307.0,16.0,80.0,48.0,683.6888079264229,0.02763584662549429,0.006820100413204781,0.00035544497267516774,0.0017772248633758387,0.0010663349180255032,Itasca
Jackson,9989.0,4307.0,0.07318049854840325,5081199.0,398.0,31.0,5.0,19.0,9.0,508.67944739213135,0.039843828211032134,0.0031034137551306435,0.0005005506056662329,0.0019020923015316848,0.0009009910901992192,Jackson
Kanabec,16032.0,6530.0,0.093874750499002,5920621.0,367.0,81.0,0.0,3.0,12.0,369.3002120758483,0.02289171656686627,0.005052395209580838,0.0,0.00018712574850299402,0.0007485029940119761,Kanabec
Kandiyohi,43732.0,17079.0,0.09880636604774536,43044226.0,1214.0,831.0,83.0,285.0,23.0,984.2729808835635,0.02775999268270374,0.01900210372267447,0.0018979237171864996,0.006516966980700631,0.0005259306686179457,Kandiyohi
Kittson,4207.0,1846.0,0.11647254575707154,1901161.0,153.0,9.0,7.0,43.0,12.0,451.9042072735916,0.03636795816496316,0.0021392916567625386,0.0016638935108153079,0.010221060137865463,0.0028523888756833847,Kittson
Koochiching,12062.0,5604.0,0.12129000165809982,7145964.0,364.0,156.0,0.0,2.0,13.0,592.4360802520312,0.030177416680484164,0.012933178577350357,0.0,0.000165809981760902,0.001077764881445863,Koochiching
Lac qui Parle,6719.0,2954.0,0.08766185444262539,2303964.0,241.0,34.0,1.0,5.0,6.0,342.90281291858906,0.03586843280250037,0.005060276826908766,0.0001488316713796696,0.000744158356898348,0.0008929900282780176,Lac Qui Parle
Lake,10905.0,4869.0,0.07602017423200366,8563339.0,418.0,56.0,2.0,6.0,25.0,785.267216872994,0.03833104080696928,0.005135259055479138,0.00018340210912425492,0.0005502063273727648,0.0022925263640531865,Lake
Lake of the Woods,3763.0,1745.0,0.09646558596864203,4936857.0,213.0,,9.0,61.0,9.0,1311.9471166622375,0.05660377358490566,,0.0023917087430241827,0.016210470369386127,0.0023917087430241827,Lake of the Woods
Le Sueur,28674.0,11287.0,0.07909604519774012,11557882.0,753.0,201.0,2.0,4.0,18.0,403.078817046802,0.026260724000836996,0.007009834693450513,6.97495989398061e-05,0.0001394991978796122,0.0006277463904582549,Le Sueur
Lincoln,5640.0,2452.0,0.10904255319148937,2712791.0,211.0,18.0,17.0,43.0,4.0,480.99131205673757,0.037411347517730495,0.0031914893617021275,0.0030141843971631206,0.007624113475177305,0.0007092198581560284,Lincoln
Lyon,25269.0,10137.0,0.12525228540899916,25366550.0,730.0,224.0,65.0,129.0,12.0,1003.8604614349598,0.02888915271676758,0.00886461672404923,0.0025723218172464283,0.005105069452689065,0.0004748901816454945,Lyon
Mahnomen,5411.0,2014.0,0.20883385695804843,3690860.0,115.0,68.0,15.0,57.0,3.0,682.1031232674183,0.02125300314174829,0.01256699316207725,0.002772130844575864,0.010534097209388284,0.0005544261689151728,Mahnomen
Marshall,9040.0,3836.0,0.07013274336283186,3549591.0,240.0,41.0,10.0,44.0,12.0,392.6538716814159,0.02654867256637168,0.0045353982300884955,0.0011061946902654867,0.0048672566371681415,0.001327433628318584,Marshall
Martin,20025.0,8748.0,0.12604244694132336,12401330.0,622.0,187.0,10.0,179.0,8.0,619.2923845193508,0.031061173533083644,0.00933832709113608,0.0004993757802746567,0.008938826466916355,0.00039950062421972534,Martin
